Tidspunkt,Lufttrykk ved havnivå,Lufttemperatur,Skydekke,Relativ fuktighet,Vindretning,Vindhastighet
2025-04-22T20:00:00Z,1016.0,9.0,99.9,87.0,29.9,1.2
2025-04-22T21:00:00Z,1016.1,8.9,100.0,87.3,21.1,1.2
2025-04-22T22:00:00Z,1016.2,8.9,100.0,87.1,17.2,1.1
2025-04-22T23:00:00Z,1016.4,8.8,100.0,86.4,35.2,1.2
2025-04-23T00:00:00Z,1016.4,8.7,100.0,85.9,38.6,0.9
2025-04-23T01:00:00Z,1016.3,8.5,100.0,86.8,5.4,0.7
2025-04-23T02:00:00Z,1016.3,8.2,100.0,88.4,354.4,1.0
2025-04-23T03:00:00Z,1016.5,8.0,100.0,86.9,11.0,1.2
2025-04-23T04:00:00Z,1016.7,7.8,100.0,85.3,31.5,1.2
2025-04-23T05:00:00Z,1017.0,8.0,99.9,84.1,36.0,1.1
2025-04-23T06:00:00Z,1017.3,8.4,100.0,83.4,13.8,1.2
2025-04-23T07:00:00Z,1017.6,8.8,99.8,81.7,7.9,1.1
2025-04-23T08:00:00Z,1018.0,9.7,99.4,76.0,20.8,2.2
2025-04-23T09:00:00Z,1018.3,10.8,95.8,69.7,33.2,3.2
2025-04-23T10:00:00Z,1018.5,11.8,99.6,64.9,39.6,3.4
2025-04-23T11:00:00Z,1018.8,12.5,99.3,62.2,52.1,3.7
2025-04-23T12:00:00Z,1019.0,13.1,97.6,59.2,56.9,3.2
2025-04-23T13:00:00Z,1019.2,13.6,96.1,58.6,52.1,2.7
2025-04-23T14:00:00Z,1019.2,14.0,92.5,58.9,52.2,2.4
2025-04-23T15:00:00Z,1019.1,14.3,95.1,59.1,44.5,2.0
2025-04-23T16:00:00Z,1019.0,14.2,98.4,57.6,28.1,1.7
2025-04-23T17:00:00Z,1019.2,13.8,88.8,55.1,18.1,1.9
2025-04-23T18:00:00Z,1019.2,12.9,77.9,57.7,31.3,1.5
2025-04-23T19:00:00Z,1019.7,11.4,66.7,61.6,331.7,1.1
2025-04-23T20:00:00Z,1020.3,9.8,36.2,67.3,71.0,1.7
2025-04-23T21:00:00Z,1020.7,9.0,72.5,67.2,80.7,1.9
2025-04-23T22:00:00Z,1021.2,8.8,83.9,68.0,129.5,2.2
2025-04-23T23:00:00Z,1021.6,8.5,76.1,73.9,117.8,1.4
2025-04-24T00:00:00Z,1021.7,8.3,86.8,83.6,153.2,2.7
2025-04-24T01:00:00Z,1021.9,8.1,98.4,85.6,156.3,2.8
2025-04-24T02:00:00Z,1021.9,8.0,98.9,84.0,164.1,3.0
2025-04-24T03:00:00Z,1022.1,7.6,99.9,82.5,175.0,2.5
2025-04-24T04:00:00Z,1022.1,7.4,100.0,87.3,184.9,2.2
2025-04-24T05:00:00Z,1022.0,7.4,100.0,85.5,190.5,2.5
2025-04-24T06:00:00Z,1022.1,7.5,100.0,86.8,189.2,2.8
2025-04-24T07:00:00Z,1022.2,7.6,100.0,87.0,173.4,3.5
2025-04-24T08:00:00Z,1022.4,7.9,100.0,88.1,178.3,3.5
2025-04-24T09:00:00Z,1022.3,8.6,100.0,87.7,186.6,3.0
2025-04-24T10:00:00Z,1022.1,9.7,99.9,84.1,182.1,2.7
2025-04-24T11:00:00Z,1021.8,11.1,98.0,78.7,179.3,2.7
2025-04-24T12:00:00Z,1021.3,12.4,81.7,72.3,179.0,2.9
2025-04-24T13:00:00Z,1020.7,13.4,78.4,66.4,183.0,3.7
2025-04-24T14:00:00Z,1020.1,13.9,81.5,63.4,177.9,4.3
2025-04-24T15:00:00Z,1019.5,13.7,86.3,61.0,177.5,4.0
2025-04-24T16:00:00Z,1019.8,13.5,94.9,67.8,150.6,1.8
2025-04-24T17:00:00Z,1020.4,11.4,99.7,81.8,63.2,5.5
2025-04-24T18:00:00Z,1021.1,9.7,100.0,83.1,75.8,3.2
2025-04-24T19:00:00Z,1021.6,8.9,97.8,83.4,103.2,1.7
2025-04-24T20:00:00Z,1022.2,8.8,68.7,85.9,31.7,2.2
2025-04-24T21:00:00Z,1022.9,8.1,48.8,87.9,37.3,2.9
2025-04-24T22:00:00Z,1023.8,7.4,33.4,87.1,38.2,3.3
2025-04-24T23:00:00Z,1024.4,6.6,39.4,79.7,39.9,4.3
2025-04-25T00:00:00Z,1024.8,6.1,15.7,69.2,39.0,6.0
2025-04-25T06:00:00Z,1027.1,5.1,80.5,55.4,36.1,3.1
2025-04-25T12:00:00Z,1025.6,11.5,50.4,43.5,208.9,1.6
2025-04-25T18:00:00Z,1023.2,13.0,13.3,56.9,195.3,1.6
2025-04-26T00:00:00Z,1025.1,7.2,51.6,77.0,111.3,1.2
2025-04-26T06:00:00Z,1026.4,7.3,41.4,72.6,42.3,2.0
2025-04-26T12:00:00Z,1025.5,15.4,71.1,48.7,196.3,3.1
2025-04-26T18:00:00Z,1023.9,14.0,87.5,68.2,173.0,4.2
2025-04-27T00:00:00Z,1024.3,9.4,91.0,92.7,168.2,2.5
2025-04-27T06:00:00Z,1023.4,8.1,100.0,91.0,193.3,2.2
2025-04-27T12:00:00Z,1022.0,16.0,75.4,55.6,189.1,3.5
2025-04-27T18:00:00Z,1019.9,15.1,72.3,74.3,168.7,4.1
2025-04-28T00:00:00Z,1020.0,11.6,97.7,87.9,158.8,1.7
2025-04-28T06:00:00Z,1019.2,10.9,100.0,89.0,194.5,1.4
2025-04-28T12:00:00Z,1018.7,18.1,100.0,56.8,192.7,3.4
2025-04-28T18:00:00Z,1018.4,18.8,96.9,70.1,169.2,3.4
2025-04-29T00:00:00Z,1020.8,12.5,82.4,82.4,168.2,1.8
2025-04-29T06:00:00Z,1022.0,11.9,98.4,83.2,169.1,1.3
2025-04-29T12:00:00Z,1020.5,19.4,99.2,52.6,197.5,2.9
2025-04-29T18:00:00Z,1019.2,19.5,88.3,57.3,172.7,3.2
2025-04-30T00:00:00Z,1018.7,12.8,100.0,84.5,161.4,2.1
2025-04-30T06:00:00Z,1017.9,12.1,99.2,81.4,197.5,1.9
2025-04-30T12:00:00Z,1018.5,19.1,99.2,52.9,195.2,4.9
2025-04-30T18:00:00Z,1017.3,18.7,96.5,68.6,175.3,4.3
2025-05-01T00:00:00Z,1018.7,12.5,18.4,70.6,343.5,3.1
2025-05-01T06:00:00Z,1022.8,12.0,25.4,63.9,28.2,3.0
2025-05-01T12:00:00Z,1020.3,17.9,58.6,38.0,348.1,3.7
2025-05-01T18:00:00Z,1021.1,18.1,27.3,53.1,32.6,3.8
2025-05-02T00:00:00Z,1024.2,11.8,23.8,70.6,24.1,3.6
2025-05-02T06:00:00Z,1023.2,10.2,99.6,70.7,20.5,3.0
2025-05-02T12:00:00Z,1021.4,16.4,61.7,38.6,208.2,3.1
2025-05-02T18:00:00Z,1021.0,18.9,88.3,64.4,177.2,3.3
