Tidspunkt,Lufttrykk ved havnivå,Lufttemperatur,Skydekke,Relativ fuktighet,Vindretning,Vindhastighet
2025-04-21T11:00:00Z,1013.5,14.0,77.1,43.0,52.1,3.3
2025-04-21T12:00:00Z,1013.1,14.9,56.0,47.2,48.9,3.1
2025-04-21T13:00:00Z,1012.8,15.6,44.5,48.4,55.9,3.0
2025-04-21T14:00:00Z,1012.6,15.8,53.8,50.5,65.5,2.7
2025-04-21T15:00:00Z,1012.8,15.4,83.4,47.4,101.4,3.6
2025-04-21T16:00:00Z,1013.0,14.9,87.3,48.5,109.7,3.9
2025-04-21T17:00:00Z,1013.5,13.8,82.4,53.9,112.4,4.2
2025-04-21T18:00:00Z,1014.2,12.4,91.3,58.5,105.4,3.7
2025-04-21T19:00:00Z,1014.9,11.5,97.4,62.1,96.6,2.9
2025-04-21T20:00:00Z,1015.1,10.8,99.1,64.7,83.5,2.8
2025-04-21T21:00:00Z,1015.3,10.3,100.0,67.8,83.1,2.6
2025-04-21T22:00:00Z,1015.4,9.8,100.0,70.4,75.2,2.7
2025-04-21T23:00:00Z,1015.7,9.3,100.0,75.4,66.9,2.8
2025-04-22T00:00:00Z,1015.8,9.0,100.0,80.8,62.7,2.9
2025-04-22T01:00:00Z,1015.6,8.8,100.0,83.1,60.9,2.5
2025-04-22T02:00:00Z,1015.4,8.6,100.0,83.9,50.7,2.7
2025-04-22T03:00:00Z,1015.2,8.4,100.0,84.7,50.1,2.6
2025-04-22T04:00:00Z,1015.1,8.1,100.0,85.6,51.7,2.5
2025-04-22T05:00:00Z,1015.1,7.9,100.0,86.1,58.8,2.7
2025-04-22T06:00:00Z,1015.1,7.8,100.0,85.8,59.9,2.9
2025-04-22T07:00:00Z,1015.3,7.8,100.0,85.9,60.4,2.9
2025-04-22T08:00:00Z,1015.5,7.8,100.0,85.7,49.9,2.8
2025-04-22T09:00:00Z,1015.7,7.9,100.0,85.2,48.0,3.0
2025-04-22T10:00:00Z,1015.7,8.3,100.0,83.8,45.8,3.0
2025-04-22T11:00:00Z,1015.7,8.7,100.0,80.8,45.2,2.5
2025-04-22T12:00:00Z,1015.8,9.2,100.0,78.4,48.5,2.3
2025-04-22T13:00:00Z,1015.8,9.7,100.0,77.2,49.2,2.2
2025-04-22T14:00:00Z,1015.8,9.9,100.0,76.8,48.1,1.9
2025-04-22T15:00:00Z,1015.6,10.1,100.0,77.4,60.3,1.5
2025-04-22T16:00:00Z,1015.6,9.9,100.0,78.9,71.6,1.2
2025-04-22T17:00:00Z,1015.5,9.7,100.0,80.7,80.9,1.2
2025-04-22T18:00:00Z,1015.4,9.2,100.0,82.3,98.6,1.2
2025-04-22T19:00:00Z,1015.6,8.6,100.0,84.3,107.3,1.0
2025-04-22T20:00:00Z,1015.8,8.2,100.0,86.9,80.6,0.9
2025-04-22T21:00:00Z,1015.9,7.9,100.0,88.4,51.9,1.1
2025-04-22T22:00:00Z,1016.1,7.6,99.9,88.1,37.1,1.3
2025-04-22T23:00:00Z,1016.3,7.5,99.7,87.8,40.9,1.3
2025-04-23T00:00:00Z,1016.3,7.4,99.8,87.2,43.3,1.2
2025-04-23T01:00:00Z,1016.5,7.4,100.0,86.5,42.8,0.8
2025-04-23T02:00:00Z,1016.6,7.3,100.0,85.6,65.3,0.6
2025-04-23T03:00:00Z,1016.6,7.3,99.7,86.1,64.4,0.7
2025-04-23T04:00:00Z,1016.5,7.1,88.2,87.9,81.0,0.5
2025-04-23T05:00:00Z,1016.7,7.0,75.8,88.1,56.3,0.2
2025-04-23T06:00:00Z,1017.0,7.6,74.0,82.3,40.0,0.4
2025-04-23T07:00:00Z,1017.2,8.5,79.7,77.2,74.5,0.3
2025-04-23T08:00:00Z,1017.4,9.6,84.4,76.5,227.6,1.4
2025-04-23T09:00:00Z,1017.8,10.8,90.7,73.7,245.1,1.6
2025-04-23T10:00:00Z,1018.1,11.7,97.2,69.4,358.9,0.5
2025-04-23T11:00:00Z,1018.4,12.1,99.2,62.8,43.2,3.6
2025-04-23T12:00:00Z,1018.8,12.1,98.4,62.8,41.2,4.4
2025-04-23T13:00:00Z,1019.1,11.9,96.6,64.3,38.5,4.8
2025-04-23T14:00:00Z,1019.2,11.8,92.9,65.2,44.3,5.0
2025-04-23T15:00:00Z,1019.2,11.6,98.9,65.0,50.4,4.4
2025-04-23T16:00:00Z,1019.2,11.7,99.7,63.9,53.8,4.1
2025-04-23T17:00:00Z,1019.3,11.3,99.4,62.9,50.2,3.3
2025-04-23T18:00:00Z,1019.5,10.6,99.8,62.3,43.3,2.4
2025-04-24T00:00:00Z,1019.7,11.5,100.0,85.6,32.1,2.9
2025-04-24T06:00:00Z,1020.9,8.0,100.0,95.2,32.9,2.6
2025-04-24T12:00:00Z,1020.9,9.6,100.0,84.6,62.0,2.3
2025-04-24T18:00:00Z,1021.1,9.6,100.0,77.2,50.4,3.7
2025-04-25T00:00:00Z,1024.7,7.3,89.8,81.2,23.1,3.0
2025-04-25T06:00:00Z,1027.6,5.6,7.4,59.1,35.3,3.7
2025-04-25T12:00:00Z,1026.4,11.6,34.8,35.8,206.5,1.6
2025-04-25T18:00:00Z,1024.8,12.1,21.1,55.1,161.8,1.9
2025-04-26T00:00:00Z,1025.6,6.9,24.2,73.8,153.3,1.3
2025-04-26T06:00:00Z,1026.4,7.3,27.3,73.1,165.1,1.6
2025-04-26T12:00:00Z,1025.2,15.6,66.8,46.8,199.8,2.5
2025-04-26T18:00:00Z,1023.5,13.2,46.1,66.7,167.8,3.7
2025-04-27T00:00:00Z,1023.5,8.2,89.8,90.4,158.8,2.0
